Filename,Authors,Title,Year,Date,Source,Publisher,ArticleURL,Type,DOI,Volume,Issue,StartPage,EndPage,Additional Pages,USE_THIS,ReviewType,Project,
3406 Bände Wikipedia.PDF,,3406 Bände Wikipedia,2016,28-May,Frankfurter Rundschau,DPA,https://drive.google.com/file/d/1m6OfV9d5zbuyBHrCmZcGgdVQ21fTfPC1/view,Zeitung,,,,38,38,,TRUE,Several paragraphs,Print Wikipedia,
"Algotaylorism, plus Web la vie.PDF",Clémentine Mercier,"«Algotaylorism», plus Web la vie",2020,10-Mar,Libération,,https://drive.google.com/file/d/1WI5jVNhNHYNXR_5z0tjEOjPdPc6QwetM/view,Journal,,,,,,,TRUE,Several paragraphs,Postmodern Times,
Andy Warhol_ controversies and work of the father of contemporary art.PDF,,Andy Warhol: controversies and work of the father of contemporary art,,,CENFENG,,,Newspaper,,,,,,,FALSE,Several paragraphs,,
Andy Warhol_ polémicas y obra del padre del arte contemporáneo.PDF,,Andy Warhol: polémicas y obra del padre del arte contemporáneo,,,IAR,,,Publicación internet,,,,,,,FALSE,Several paragraphs,,
Artist Michael Mandiberg Debuts Print Wikipedia in New York City.PDF,,Artist Michael Mandiberg Debuts Print Wikipedia in New York City,2015,30-Jun,Entertainment Close-up,,,Newsletter,,,,,,,FALSE,Several paragraphs,Print Wikipedia,
Artist Michael Mandiberg presents installation in Berlin.PDF,Wolfgang Kumm,Artist Michael Mandiberg presents installation in Berlin,2016,27-May,European Press Agency (EPA),,,Images,,,,,,,TRUE,One sentence,Print Wikipedia,
BOOK BITES.PDF,"Tymon Smith, Andrea Nagel",BOOK BITES,2015,21-Jul,The Times (South Africa),,,Newspaper,,,,,,,TRUE,One sentence,Print Wikipedia,
Bildtext.PDF,,Bildtext,2016,28-May,Schwarzwälder Bote,,,Zeitung,,,,33,33,,FALSE,One sentence,Print Wikipedia,
Check Out One Artist's Attempt to Print Out The Entirety Of Wikipedia.PDF,Emma Whitford,Check Out One Artist's Attempt to Print Out The Entirety Of Wikipedia,2015,18-Jun,Gothamist,,,Web Blog,,,,,,,TRUE,Several paragraphs,Print Wikipedia,
"Cheeseburgers, Oil and Minimum Wage_ Building a Museum of Capitalism.PDF",Jennifer Schuessler,"Cheeseburgers, Oil and Minimum Wage: Building a Museum of Capitalism",2019,25-Nov,The New York Times - International Edition,,,Newspaper,,,,,,,TRUE,Several paragraphs,FDIC Insured,
"Chipping away at Wikipedia's gender bias, one article at a time.PDF",Kate Knibbs,"Chipping away at Wikipedia's gender bias, one article at a time",2014,10-Feb,The Daily Dot,,,Web Blog,,,,,,,TRUE,Full article,Art+Feminism,
Consigned to the Museum Heap of History.PDF,Jennifer Schuessler,Consigned to the Museum Heap of History,2019,14-Nov,The New York Times,,,Newspaper,,,,1,1,,TRUE,Several paragraphs,FDIC Insured,
Così l'arte contemporanea mette in scena la crisi.PDF,irene opezzo,Così l'arte contemporanea mette in scena la crisi,2017,26-Jun,La Stampa,,,Giornale,,,,37,37,,TRUE,Several paragraphs,FDIC Insured,
De toekomst herhaalt zich in het Evoluon.PDF,Gijsbert van Es,"""De toekomst herhaalt zich in het Evoluon""",2022,22-Sep,NRC,,,Web Publication,,,,,,,TRUE,One sentence,Print Wikipedia,
De toekomst van gisteren en morgen te zien op RetroFuture in het Evoluon.PDF,,"""De toekomst van gisteren en morgen te zien op RetroFuture in het Evoluon""",2022,15-Sep,Algemeen Dagblad.nl,,,Web Publicatie,,,,,,,FALSE,One sentence,Print Wikipedia,
Deine Kunst ist meine Kunst Appropriation-Art - Spannungsfeld zwischen Kunst und Recht.PDF,Herbert Pfortmüller,Deine Kunst ist meine Kunst Appropriation-Art - Spannungsfeld zwischen Kunst und Recht,2009,9-Oct,Neue Zürcher Zeitung,,,Zeitung,,,,,,,TRUE,mention,After Sherrie Levine,
"Denny Gallery to Close After a Decade, Becoming the Latest Downtown New York Space to Shutter.PDF",Alex Greenberger,Denny Gallery to Close After a Decade Becoming the Latest Downtown New York Space to Shutter,2023,5-Oct,Art in America,,,Magazine,,,,,,,TRUE,One sentence,Print Wikipedia,
"Die Kopie vom Original der Kopie Die Zeitung ist das Medium der Vervielfältigung schlechthin, aber m.PDF",Axel Christoph Gampp,"Die Kopie vom Original der Kopie Die Zeitung ist das Medium der Vervielfältigung schlechthin, aber m",2016,1-Jul,Neue Zürcher Zeitung,,,Zeitung,,,,,,,TRUE,mention,After Sherrie Levine,
"Dit portret uit 1936 bezorgde haar fotograaf wereldfaam, maar wat had Allie Mae daaraan_.PDF",Mark Moorman,Dit portret uit 1936 bezorgde haar fotograaf wereldfaam maar wat had Allie Mae daaraan,2022,27-Oct,Die Volkskrant,,,Web Publicatie,,,,,,,TRUE,Several paragraphs,After Walker Evans,
"Einblick (624) Anja Henckel &amp; Nadim Samman, Kurator_Innen von Import Projects.PDF",,"Einblick (624) Anja Henckel & Nadim Samman, Kurator_Innen von Import Projects",2016,2-Jun,"taz, die tageszeitung",,,Zeitung,,,,39,39,,FALSE,One sentence,,
El KM invita a revisar la historia del 'net-art' con 35 artistas.PDF,M. M.,El KM invita a revisar la historia del 'net-art' con 35 artistas,2004,13-Jan,El Pais,,,,,,,5,5,,TRUE,Mention,Shop Mandiberg,
El SabadellHerrero rinde tributo a la estética y técnica fotográfica Titulada 'Yo quería ser fotógra.PDF,,"El SabadellHerrero rinde tributo a la estética y técnica fotográfica; Titulada 'Yo quería ser fotógrafo', la exposición que se nutre con fondos de Foto",2017,28-Jan,El Comercio,,,,,,,,,,TRUE,mention,After Sherrie Levine,
Exhibition aims to show the meaning of curating.PDF,Yue Wu,Exhibition aims to show the meaning of curating,2015,3-Nov,The Lantern: Ohio State University (Columbus),,,Newspaper,,,,,,,TRUE,Several paragraphs,Print Wikipedia,
GOING OUT MOVIES OUT NOW.PDF,Steve Dinneen,GOING OUT MOVIES OUT NOW,2019,1-Nov,City A.M.,,,,,,,,,,TRUE,One sentence,,
In the Stacks_ Print Wikipedia displays knowledge as art.PDF,Tanner Stechnij,In the Stacks: Print Wikipedia' displays knowledge as art,2016,1-Mar,The State Press: Arizona State University,,,Newspaper,,,,1,1,,TRUE,Several paragraphs,Print Wikipedia,
Internet Update.PDF,Wendy Woods,Internet Update,2001,31-Jan,Newsbytes,,,,,,,,,,TRUE,One sentence,Shop Mandiberg,
Is it worth it_.PDF,Carl Wilkinson,Is it worth it?,2015,11-Jul,"Financial Times (London, England)",,,,,,,10,10,,TRUE,One sentence,Print Wikipedia,
Kein Titel.PDF,,"""Kein Titel""",2016,28-May,Stuttgarter Zeitung Verlagsgesellschaft GmbH Alle Rechte vorbehalten,,,Zeitung,,,,,,,TRUE,Several paragraphs,Print Wikipedia,
Kreativität und Kapital Im digitalen Austausch_ Die Eintritt in ein Lebewesen -Schau im Bethanien v.PDF,Tom Mustroph,"""Kreativität und Kapital Im digitalen Austausch_ Die Eintritt in ein Lebewesen -Schau im Bethanien v""",2020,23-May,Die Tageszeitung (TAZ),,,Zeitung,,,,,,,TRUE,mention,View from the Window at Work,
Kunstprojekt macht Deutsche Wikipedia als Bibliothek begehbar.PDF,,"""Kunstprojekt macht Deutsche Wikipedia als Bibliothek begehbar""",2016,30-May,SDA - Basisdienst Deutsch,,,Presseagentur,,,,,,,TRUE,Several paragraphs,Print Wikipedia,
Kunstprojekt macht Wikipedia als Bibliothek begehbar.PDF,,"""Kunstprojekt macht Wikipedia als Bibliothek begehbar""",2016,28-Jul,Deutsche Presse-Agentur Alle Rechte Vorbehalten,,,Presseagentur,,,,,,,TRUE,Several paragraphs,Print Wikipedia,
Kunstprojekt macht Wikipedia begehbar.PDF,,"""Kunstprojekt macht Wikipedia begehbar""",2016,28-May,Schwarzwälder Bote,,,Zeitung,,,,33,33,,TRUE,Several paragraphs,Print Wikipedia,
Le boulot des petites mains anonymes.PDF,Fabien Paillot,Le boulot des petites mains anonymes,2015,23-Jun,Sud Ouest,,,Journal,,,,13,13,,TRUE,Several paragraphs,Print Wikipedia,
Llévese una copia fotográfica autentificada Foto Colectania plantea en una muestra el debate sobre a.PDF,ROBERTA BOSCO,Llévese una copia fotográfica autentificada Foto Colectania plantea en una muestra el debate sobre autoría y apropiación,2016,1-Nov,El Pais,,,Periódico,,,,30,30,,TRUE,Several paragraphs,AfterSherrieLevine.com,
de aaaaa ! à ZZZap ! Wikipédia s'expose.PDF,,de aaaaa ! à ZZZap ! Wikipédia s'expose,2015,,GT10,,,Publication internet,,,,,,,TRUE,One sentence,Print Wikipedia,
dpa-AFX Überblick_ VERMISCHTES vom 30.05.2016 - 16.45 Uhr.PDF,,dpa-AFX Überblick: VERMISCHTES vom 30.05.2016 - 16.45 Uhr,2016,30-May,dpa-AFX Wirtschaftsnachrichten GmbH Alle Rechte Vorbehalten,,,Presseagentur,,,,,,,TRUE,Several paragraphs,Print Wikipedia,Print Wikipedia
"Mein innerer Rembrandt Nach Joni Mitchell, Brad Pitt und Britney Spears macht nun auch der Musiker E.PDF",,"Mein innerer Rembrandt Nach Joni Mitchell, Brad Pitt und Britney Spears macht nun auch der Musiker E.",2020,13-Nov,Zeitung,,,Zeitung,,,,,,,TRUE,paragraph,,
"New York artist creating 7,600-volume 'print edition' of Wikipedia.PDF",BEN HOOPER,"New York artist creating 7,600-volume 'print edition' of Wikipedia",2015,18-Jun,UPI,,,Newswire,,,,,,,TRUE,several paragraphs,Print Wikipedia,
New art space opens inaugural exhibit.PDF,Anthony Fiducia,New art space opens inaugural exhibit,2017,3-Jul,"Register-Star (Hudson, New York)",,,Newspaper,,,,,,,TRUE,one sentence,View from the Window at Work,
Nicht zu begreifen.PDF,,Nicht zu begreifen,,,M. DuMont Schauberg Alle Rechte vorbehalten,,,,,,,,,,TRUE,one paragraph,Print Wikipedia,
No Headline In Original.PDF,,No Headline In Original,2016,9-Jun,Frankfurter Neue Presse (Regionalausgaben),,,Zeitung,,,,,,,TRUE,several paragraphs,Print Wikipedia,
Nuevos enfoques artísticos para la fotografía del siglo XXI La muestra 'Yo quería ser fotógrafo' de.PDF,,Nuevos enfoques artísticos para la fotografía del siglo XXI La muestra 'Yo quería ser fotógrafo' de,2017,3-Feb,El Comercio,,,,,,,,,,TRUE,one paragraph,"AfterSherrieLevine.com, AfterWalkerEvans.com",
Plagiarism or homage__ the controversy behind the works of the artist Fatima Pecci Carou.PDF,,Plagiarism or homage?: the controversy behind the works of the artist Fatima Pecci Carou,2021,22-Jun,CE Noticias Financieras English,,,Newspaper,,,,,,,TRUE,several paragraphs,,
Plagio u homenaje__ la polémica detrás de las obras de la artista Fátima Pecci Carou.PDF,Juan Batalla,Plagio u homenaje: la polémica detrás de las obras de la artista Fátima Pecci Carou,2021,22-Jun,Infobae,,,Publicación internet,,,,,,,TRUE,several paragraphs,,
"Print Edition of Wikipedia Available for £314,000.PDF",,"Print Edition of Wikipedia Available for £314,000",2015,3-Jul,M2 PressWIRE,,,Newswire,,,,,,,TRUE,several paragraphs,Print Wikipedia,
"Print edition of Wikipedia to sell for USD 500,000.PDF",,"Print edition of Wikipedia to sell for USD 500,000",2015,21-Jun,Philippines News Agency,,,Web Publication,,,,,,,TRUE,several paragraphs,Print Wikipedia,
Recrea artista Wikipedia... ¡con cientos de tomos!.PDF,Luis López,Recrea artista Wikipedia... ¡con cientos de tomos!,2015,23-Jun,El Norte (Mexico),,,periódico,,,,,,,TRUE,several paragraphs,Print Wikipedia,
SM koopt digikunst.PDF,,SM koopt digikunst,,,Krant,,,Krant,,,,,,,TRUE,one sentence,,
Schijnvertoningen De mediakunstenaar.PDF,,Schijnvertoningen De mediakunstenaar,2012,21-Nov,Magazine,,,Magazine,,,,,,,TRUE,several paragraphs,After Sherrie Levine,
So groß ist Wikipedia Künstler macht Online-Enzyklopädie begehbar.PDF,,So groß ist Wikipedia Künstler macht Online-Enzyklopädie begehbar,2016,1-Jun,Zeitung,,,Zeitung,,,,,,,TRUE,several paragraphs,Print Wikipedia,
Terug naar Allie Mae.PDF,MARK MOORMAN,Terug naar Allie Mae,2022,28-Oct,de Volkskrant,,,Krant,,,,,,,TRUE,several paragraphs,AfterSherrieLevine.com,
These print editions of Wikipedia show the futility of big data and are available for purchase From.PDF,,These print editions of Wikipedia show the futility of big data and are available for purchase From,2015,19-Jun,Independent Digital News and Media Limited,,,Newspaper; Web Publication,,,,,,,TRUE,several paragraphs,,
"This is what it looks like when you print out ALL of Wikipedia (and it only takes 25 days and 7,473 books!).PDF",,"This is what it looks like when you print out ALL of Wikipedia (and it only takes 25 days and 7,473 books!)",2015,19-Jul,MailOnline,,,Web Publication,,,,,,,TRUE,several paragraphs,Print Wikipedia,
Virtuelles zum Anfassen_ Doppelausstellung bei Import Projects Import Projects.PDF,Beate Scheder,Virtuelles zum Anfassen: Doppelausstellung bei Import Projects Import Projects,2016,2-Jun,"taz, die tageszeitung",,,Zeitung,,,,,,,TRUE,one paragraph,Print Wikipedia,
Vu sur le WEB.PDF,,Vu sur le WEB,2015,25-Jun,La Montagne,,,,,,,,,,TRUE,one paragraph,Print Wikipedia,
Warme hand brengt foto tot leven(2).PDF,,Warme hand brengt foto tot leven,2018,1-Feb,HDC Media,,,Krant,,,,,,,TRUE,one paragraph,Print Wikipedia,
Warme hand brengt foto tot leven.PDF,,Warme hand brengt foto tot leven,2018,1-Feb,HDC Media,,,Krant,,,,,,,TRUE,one paragraph,Print Wikipedia,
Warme handen gezocht.PDF,Paola van de Velde,Warme handen gezocht,2018,15-Jan,De Telegraaf,,,Krant,,,,,,,TRUE,one paragraph,Print Wikipedia,
Wer glaubt noch ans Original_ Wolfgang Beltracchi mag ein großer Kunstfälscher sein - seine Bilder g.PDF,,Wer glaubt noch ans Original: Wolfgang Beltracchi mag ein großer Kunstfälscher sein - seine Bilder g,2011,6-Oct,Zeitverlag Gerd Bucerius GmbH & Co.,,,,,,,,,,TRUE,one paragraph,,
"Wikipedia at 20_ The internet's go-to reference site, by the numbers.PDF",,"Wikipedia at 20: The internet's go-to reference site, by the numbers",,,Newswire,,,Newswire,,,,,,,TRUE,one paragraph,Print Wikipedia,
Wikipedia ist jetzt als Bibliothek begehbar.PDF,,Wikipedia ist jetzt als Bibliothek begehbar,2016,31-May,Welt kompakt,,,Zeitung,,,,,,,TRUE,one paragraph,Print Wikipedia,
Wikipedia jetzt auch als Bibliothek.PDF,,Wikipedia jetzt auch als Bibliothek,2016,31-May,B.Z.,,,Zeitung,,,,,,,TRUE,one paragraph,Print Wikipedia,
Wikipedia printed for art.PDF,,Wikipedia printed for art,2015,18-Jun,The Straits Times (Singapore),,,Newspaper,,,,,,,TRUE,several paragraphs,Print Wikipedia,
Wikipedia wird zum Kunstprojekt.PDF,,Wikipedia wird zum Kunstprojekt,2016,9-Jun,Frankfurter Neue Presse (Regionalausgaben),,,Zeitung,,,,,,,TRUE,one paragraph,Print Wikipedia,
"Wikipedia, endlich erfassbar(2).PDF",,"Wikipedia, endlich erfassbar",2016,28-May,Frankenpost,,,Zeitung,,,,,,,TRUE,several paragraphs,Print Wikipedia,
"Wikipedia, endlich erfassbar.PDF",DBP article duplicate?,"Wikipedia, endlich erfassbar",2016,28-May,"Druck- und Verlagsanstalt ""Neue Presse"" GmbH Alle Rechte vorbehalten",,,Zeitung,,,,,,,TRUE,several paragraphs,Print Wikipedia,
Wikipedia_ 22 facts and curiosities of the online encyclopedia 22 years after its birth.PDF,,Wikipedia: 22 facts and curiosities of the online encyclopedia 22 years after its birth,,,"Content Engine, LLC.",,,Newspaper,,,,,,,TRUE,one paragraph,,
Wikipédia _ faire du neuf avec du vieux.PDF,Clara Brunel,Wikipédia : faire du neuf avec du vieux,2015,19-Jun,LePoint.fr,,,Publication internet,,,,,,,TRUE,several paragraphs,Print Wikipedia,
"Wunderbare Wissenswelt ONLINE-LEXIKON Eine Gesamtlektüre ist bei 2,5 Millionen Artikeln schier unmög.PDF",,"Wunderbare Wissenswelt ONLINE-LEXIKON Eine Gesamtlektüre ist bei 2,5 Millionen Artikeln schier unmöglich",2020,30-Nov,M. DuMont Schauberg Alle Rechte vorbehalten,,,,,,,,,,TRUE,one paragraph,,
"You can soon buy a 7,471-volume printed version of Wikipedia for $500,000.PDF",,"You can soon buy a 7,471-volume printed version of Wikipedia for $500,000",2015,18-Jun,Newstex LLC All Rights Reserved,,,Web Blog,,,,,,,TRUE,several paragraphs,Print Wikipedia,
s11569-014-0218-6.pdf,Samuel Camenzind,On Clone as Genetic Copy: Critique of a Metaphor,2015,,Nanoethics,,,,10.1007/s11569-014-0218-6,,9,,,,TRUE,several paragraphs,"AfterWalkerEvans.com, AfterSherrieLevine.com",
Explorer mit Loechern.PDF,Matthias Kremp,Explorer mit Loechern,2006,24-Mar,Spiegel Online,,,,,,,,,,TRUE,mention,Oil Standard,
Buy a life!.PDF,Samantha Amjadali,Buy a life!,2001,25-Mar,"Sunday Herald Sun (Melbourne, Australia)",,,,,,,,,,TRUE,review,Shop Mandiberg,
"Lol-Speak wird offizielles Englisch Das Oxford English Dictionary, der Wächter der englischen Sprach.PDF",,,,,Zeitverlag Gerd Bucerius GmbH & Co. Alle,,,,,,,,,,FALSE,,,
Outback online survivor.PDF,Samela Harris,Outback online survivor,2001,29-Jan,"The Advertiser (Adelaide, Australia)",,,,,,,,,,TRUE,mention,Shop Mandiberg,
"Semana electoral en México_ un millón de dólares y el PRI , ¿ataques cibernéticos_ El 1 de julio, 89.PDF",,,,,La Opinion L.P.,,,,,,,,,,FALSE,,,