Authors,Title,Year,Date,Source,Publisher,ArticleURL,Type,DOI,CitationURL,Volume,Issue,StartPage,EndPage,Additional Pages,USE_THIS,ReviewType,Project,special
Christiane Paul,World of Art Series: Digital Art (Third Edition),2003,,Thames and Hudson, ,Book,Book,,,,, , , ,TRUE,discussion,The Real Costs,historical
Edward A. Shanken,"Inventar el Futuro: Arte, Electricidad, Nuevos medios",2013,,Departamento de Ficción, ,Book,Book,,,,,31,32,69,TRUE,discussion,"AfterSherrieLevine.com, The Real Costs",historical
Alessandro Ludovico,Post Digital Print: The Mutation of Publishing since 1894,2013,,Onomatopee 77, ,Book,Book,,,,,58, , ,TRUE,discussion,Old News,historical
Linda Weintraub,To Life! Eco Art in Pursuit of a Sustainable Planet,2012,,University of California Press, ,Book,Book,,,,,237,242,,TRUE,book chapter,"Oil Standard, The Real Costs",historical
Josephine Bosma,Nettitudes: Let’s Talk Net Art,2011,,Institute of Network Cultures/NAi Publishers, ,Book,Book,,,,,90,92,,TRUE,discussion,"31 Acts, IN Network",historical
Gene McHugh,Post Internet: Notes on the Internet and Art,2011,,LINK Editions, ,Book,Book,,,,,200,202,,TRUE,book chapter,AfterSherrieLevine.com,historical
Dominic Smith,Open Source Practices,2010,,The Green Box, ,Book,Book,,,,,181,188,,TRUE,book chapter,"Digital Foundations, Bright Bike",historical
Edward A. Shanken,"Art and Electronic Media, Themes and Movements Series",2009,,Phaidon, ,Book,Book,,,,,23,36,,TRUE,discussion,AfterSherrieLevine.com,historical
Marita Sturken and Lisa Cartwright,"Practices of Looking, An Introduction to Visual Culture",2008,,Oxford Unversity Press, ,Book,Book,,,,,208,209,,TRUE,discussion,AfterSherrieLevine.com,historical
Jean-Damien Collin,Quelques pratiques artistiques à l’ère de la numérisation,2007,,Les Presses Du Reel, ,Book,Book,,,,,248,253,,TRUE,discussion,The Exchange Program,historical
The Upgrade,Upgrade! International: Oklahoma City DIY,2006,,Upgrade!, ,Book,Book,,,,,91, , ,TRUE,discussion,Oil Standard,historical
Reena Jana and Mark Tribe,New Media Art,2006,,Taschen/Basic Art, ,Book,Book,,,,,13,14,,TRUE,discussion,AfterSherrieLevine.com,historical
Joline Blais and Jon Ippolito,At the Edge of Art,2006,,Thames and Hudson, ,Book,Book,,,,,116,117,,TRUE,discussion,Shop Mandiberg,historical
Olav Velthuis,Imaginary Economics: Contemporary Artists And The World Of Big Money,2005,,NAi Publishers, ,Book,Book,,,,,51,53,,TRUE,discussion,AfterSherrieLevine.com,historical
Rachel Greene,World of Art Series: Internet Art,2003,,Thames and Hudson, ,Book,Book,,,,,184,185,191,TRUE,discussion,"AfterSherrieLevine.com, Shop Mandiberg",historical
Miles Orvell,American Photography,2003,,Oxford University Press, ,Book,Book,,,,,202,203,,TRUE,discussion,AfterSherrieLevine.com,historical
Charlotte Kent,Glitching Time and Time-Based Media,2022,October,The Brooklyn Rail,,https://brooklynrail.org/2022/10/art-technology/Glitching-Time-and-Time-Based-Media, , ,,, , ,,,TRUE,discussion,Postmodern Times,
Duncan Forbes,Immaterial Tramp,2022,,Camera Austria International, , ,, ,,158,,9,18,,TRUE,review,Postmodern Times,
Seph Rodney,"When an Artist’s Body Breaks Down, Human Relations Become Crucial",2021,21-Dec,Hyperallergic,,https://hyperallergic.com/701116/michael-mandiberg-timeframe-denny-dimin-gallery/,, ,, ,,, , ,TRUE,review,Live Study,
Francesco Ciaponi,La cultura dal digitale alla carta. Il progetto artistico sulle dimensioni di Wikipedia,2021,27-Jan,Artribune,,https://www.artribune.com/arti-visive/arte-contemporanea/2021/01/wikipedia-progetto-michael-mandiberg/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Rebecca Panovka,No Rest for the Wiki,2021,Winter,Book Forum,,https://www.bookforum.com/print/2704/the-free-encyclopedia-is-one-of-the-last-vestiges-of-an-earlier-internet-24256,, ,, ,,, , ,TRUE,mention,Art+Feminism,
Taylor Dafoe,‘It’s Memorializing How Unmemorable It Is’: Artist Michael Mandiberg on Painting Melancholy Portraits on Zoom,2020,10-Nov,Artnet,,https://dennydimingallery.com/news/michael-mandibergs-the-zoom-paintings-featured-in-artnet/,, ,, ,,, , ,TRUE,review,Zoom Paintings,
Sophie Haigney,‘The Zoom Paintings’ are dispatches from a strange year,2020,3-Dec,The Economist,,https://www.economist.com/prospero/2020/12/03/the-zoom-paintings-are-dispatches-from-a-strange-year,, ,, ,,, , ,TRUE,review,Zoom Paintings,
Elena Giulia Rossi,Interview with Domenico Quaranta,2019,18-Dec,arshake.com,,https://www.arshake.com/en/interview-domenico-quaranta-2/,, ,, ,,, , ,TRUE,review,"Quantified Self Portrait, Postmodern Times",
Valerio Veneruso,Lavoro E Futuro: Hyperemployment a Lubiana,2019,26-Dec,Artribune,,https://www.artribune.com/dal-mondo/2019/12/mostra-lavoro-artisti-lubiana/,, ,, ,,, , ,TRUE,review,"Quantified Self Portrait, Postmodern Times",
Jenniffer Schuessler,"Cheeseburgers, Oil, and Minimum Wage: Building a Museum of Capitalism",2019,13-Nov,New York Times,,https://www.nytimes.com/2019/11/13/arts/design/museum-of-capitalism.html,, ,, ,,, , ,TRUE,review,FDIC Insured,
Casey Lesser,Watch an Artist Paint Every Assistant They’ve Ever Had,2019,30-Jul,Artsy,,https://www.artsy.net/article/artsy-editorial-watch-artist-paint-assistant,, ,, ,,, , ,TRUE,review,Live Study,
Michelangelo Corsaro,"After Babel at Annex M, Athens",2019,4-Mar,ArtReview,,https://artreview.com/ar-march-2019-review-after-babel/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Annie Armstrong,Art + Feminism to Host Sixth Annual Edit-a-Thon,2019,21-Feb,ARTNews,,http://www.artnews.com/2019/02/21/art-feminism-host-sixth-annual-wikipedia-edit-thon-march/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Ligaya Mishan,"In Literature, Who Decides When Homage Becomes Theft?",2018,8-Oct,New York Times Magazine,,https://www.nytimes.com/2018/10/08/t-magazine/literature-homage-theft-appropriation.html,, ,, ,,, , ,TRUE,mention,AfterSherrieLevine.com,
Aurelio Cianciotta,"Quantified Self Portrait (One Year Performance), intimate flows.",2018,21-Jun,Neural,,http://neural.it/2018/06/quantified-self-portrait-one-year-performance-intimate-flows/,, ,, ,,, , ,TRUE,review,Quantified Self Portrait,
Nadja Sayej,Wikipedia's forgotten women: inside the editing marathon to fix imbalance,2018,15-Mar,The Guardian,,https://www.theguardian.com/artanddesign/2018/mar/15/wikipedia-edit-a-thon-women-arts,, ,, ,,, , ,TRUE,review,Art+Feminism,
Rachael Myrow,"Wikipedia Needs More Female Artists -- So Go Add Them, Says Stanford",2018,3-Mar,KQED,,https://www.kqed.org/arts/13826143/wikipedia-needs-more-female-artists-so-add-them,, ,, ,,, , ,TRUE,review,Art+Feminism,
Daniel A. Gross,An Annual Feminist Editing Session Takes on Wikipedia’s Gender Problem,2018,27-Feb,Hyperallergic,,https://hyperallergic.com/429353/wikipedia-edit-a-thon-moma/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Régine Debatty,"Failed Banks, Quantified Self, and Addition to the Infinite Scroll: an Interview with Michael Mandiberg",2017,7-Sep,We Make Money Not Art,,http://we-make-money-not-art.com/failed-banks-quantified-self-and-addiction-to-the-infinite-scroll-an-interview-with-michael-mandiberg/,, ,, ,,, , ,TRUE,review,"FDIC Insured, Quantified Self Portrait",
Valentina Tanni,L’arte nell’epoca del post-fail. Una mostra al Fotomuseum di Winterthur,2017,3-Dec,Artribune,,http://www.artribune.com/arti-visive/fotografia/2017/12/larte-nellepoca-del-post-fail-una-mostra-al-fotomuseum-di-winterthur/,, ,, ,,, , ,TRUE,review,FDIC Insured,
,Twenty Artists for the Trump Era,2017,19-Jan,Artsy,,https://www.artsy.net/article/artsy-editorial-20-artists-trump-era,, ,, ,,, , ,TRUE,mention,FDIC Insured,
Lily Silverton,How To Get More Women On Wikipedia,2017,18-May,Refinery 29,,https://www.refinery29.com/en-gb/women-wikipedia-how-to-add-edit,, ,, ,,, , ,TRUE,review,Art+Feminism,
Sarah Cascone,"Narrowing Gender Gap, Wikipedia Edit-a-Thon Writes 6,500 More Women Into Art History",2017,18-Apr,Artnews,,https://news.artnet.com/art-world/2017-artfeminism-edit-thons-927797,, ,, ,,, , ,TRUE,review,Art+Feminism,
John Bonazzo,Feminist Artists Combat Wikipedia’s Gender Imbalance Through Editing Sessions,2017,8-Mar,The Observer,,https://observer.com/2017/03/international-womens-day-wikipedia-gender-imbalance-art-feminism/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Alan Smart,Futures // Common Knowledge: An Interview with Michael Mandiberg,2016,13-Jun,Berlin Art Link,,http://www.berlinartlink.com/2016/06/13/michael-mandiberg/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Jessica Binsch,"Einmal die Wikipedia ausdrucken, bitte!",2016,28-May,Süddeutsche Zeitung,,http://www.sueddeutsche.de/digital/kunstausstellung-einmal-die-wikipedia-ausdrucken-bitte-1.3009520,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Jana Lapper,Künstler druckt das Internet aus 3.406 Bände voller Wikipedia,2016,31-May,TAZ,,http://taz.de/!5308322/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Jim O’Donnell,This Is What Happens When You Try to Print Out the Entirety of Wikipedia,2016,10-Mar,Slate,,http://www.slate.com/blogs/future_tense/2016/03/10/michael_mandiberg_s_art _installation_prints_out_the_entirety_of_wikipedia.html,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Seph Rodney,Where Do Banks Go When They Die?,2016,29-Sep,Hyperallergic,,http://hyperallergic.com/322682/where-do-banks-go-when-they-die/,, ,, ,,, , ,TRUE,review,FDIC Insured,
Mark Singer,Making Art With Failed Banks,2016,26-Sep,The New Yorker,,http://www.newyorker.com/magazine/2016/09/26/making-art-with-failed-banks,, ,, ,,, , ,TRUE,review,FDIC Insured,
Tina Rivers Ryan,Market Research,2016,26-Aug,Art in America,,http://artinamericamagazine.com/news-features/interviews/market-research-an-interview-with-michael-mandiberg/,, ,, ,,, , ,TRUE,review,FDIC Insured,
Julia Halperin,Don’t bank on it: New York artist’s memorial to financial failures comes to Wall Street,2016,10-May,The Art Newspaper,,http://theartnewspaper.com/news/news/don-t-bank-on-it-new-york-artist-s-memorial-to-financial-failures-comes-to-wall-street-/,, ,, ,,, , ,TRUE,review,FDIC Insured,
Talia Lavin,A Feminist Edit-a-Thon Seeks to Reshape Wikipedia,2016,11-Mar,New Yorker,,http://www.newyorker.com/tech/elements/a-feminist-edit-a-thon-seeks-to-reshape-wikipedia,, ,, ,,, , ,TRUE,review,Art+Feminism,
Liz Pelly,The feminist groups disrupting bro-tech culture in 2016,2016,4-Mar,Dazed,,http://www.dazeddigital.com/artsandculture/article/30199/1/the-feminist-groups-disrupting-bro-tech-culture-in-2016,, ,, ,,, , ,TRUE,review,Art+Feminism,
Cynthia Allum,Women leading movements to champion equality on Wikipedia,2016,29-Feb,The New York Times,,http://nytlive.nytimes.com/womenintheworld/2016/02/29/women-leading-movements-to-champion-equality-on-wikipedia/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Jade Angeles Fitton,"Third Annual Edit-a-thon to Bring More Women Artists, and Editors, to Wikipedia",2016,26-Feb,ArtSlant New York,,http://www.artslant.com/ny/articles/show/45280,, ,, ,,, , ,TRUE,review,Art+Feminism,
Hannah Ghorashi,Art + Feminism Announces Third Wikipedia Edit-A-Thon,2016,11-Feb,ARTnews,,http://www.artnews.com/2016/02/11/art-feminism-announces-third-wikipedia-edit-a-thon,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Jennifer W. Leung,Michael Mandiberg,2015,October,Artforum,, ,, ,, ,,325,326,,TRUE,review,Print Wikipedia,
Jennifer Schuessler,Print Wikipedia Reaches Final Entry,2015,13-Jul,New York Times,,http://artsbeat.blogs.nytimes.com/2015/07/13/print-wikipedia-project-reaches-final-entry/?_r=0,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Hannah Ghorashi,FROM AAAAA! TO ZZZAP!: MICHAEL MANDIBERG ON HIS PLAN TO PRINT WIKIPEDIA,2015,24-Jun,ARTnews,,http://www.artnews.com/2015/06/24/from-aaaaa-to-zzzap-michael-mandiberg-on-his-plan-to-print-wikipedia/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Press Trust of India,"Printed Wikipedia for $500,000",2015,22-Jun,Times of India,,http://timesofindia.indiatimes.com/tech/tech-news/Printed-Wikipedia-for-500000/articleshow/47765588.cms,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Giorgio Barrato,Wikipedia stampata: 7600 volumi costerebbero 450mila euro,2015,19-Jun,Wired (Italy),,http://www.wired.it/internet/web/2015/06/19/wikipedia-stampata-7600-volumi-450mila-euro/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Dan Damon,Why print copies of Wikipedia?,2015,19-Jun,BBC World Service,,http://www.bbc.co.uk/programmes/p02v2vrn,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Simone Cosimi,"Wikipedia, per stamparla su carta servono 8.000 volumi",2015,19-Jun,Vanity Fair (Italy),,http://www.vanityfair.it/lifestyle/hi-tech/15/06/18/wikipedia-stampata-su-carta,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Christopher Hooten,These print editions of Wikipedia show the futility of big data and are available for purchase,2015,23-Jun,Independent,,http://www.independent.co.uk/arts-entertainment/art/news/these-print-editions-of-wikipedia-show-the-futility-of-big-data-and-are-available-for-purchase-10330900.html,, ,, ,,, , ,TRUE,review,Print Wikipedia,
 ,Un artiste américain imprime la version anglaise de Wikipedia,2015,19-Jun,Libération,,http://www.liberation.fr/culture/2015/06/19/un-artiste-americain-imprime-la-version-anglaise-de-wikipedia_1333371,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Amah-Rose Abrams,"Artist Michael Mandiberg Turns Wikipedia into 7,600 Volumes for Gallery Show",2015,18-Jun,ArtNet News,,https://news.artnet.com/art-world/artists-turns-wikipedia-into-7600-books-309109,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Dan Piepenbring,Printing Wikipedia,2015,19-Jun,The Paris Review,,http://www.theparisreview.org/blog/2015/06/19/printing-wikipedia-from-aaaaa-to-zzzap-and-other-news/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Casey Quackenbush,Artist Converts Wikipedia to Print—Maybe It’s Not Dead After All,2015,19-Jun,New York Observer,,http://observer.com/2015/06/artist-converts-wikipedia-to-print-maybe-its-not-dead-after-all/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Stephan Felix,Wikipedia liegt auf dem Drucker,2015,19-Jun,Die Zeit,,http://blog.zeit.de/teilchen/2015/06/18/wikipedia-liegt-auf-dem-drucker/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Will Greenberg,"Ever Wonder what a $500,000 Version of Wikipedia Would Look Like?",2015,18-Jun,Washington Post,,http://www.washingtonpost.com/news/morning-mix/wp/2015/06/18/ever-wondered-what-a-500000-version-of-wikipedia-would-look-like/,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Nicole Walsh,Meet the Man Printing Wikipedia as a Book,2015,18-Jun,Vice Creator’s Project,,http://thecreatorsproject.vice.com/blog/exclusive-meet-the-man-printing-wikipedia-as-a-book,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Jennifer Schuessler,"Moving Wikipedia from Computer to Many, Many Bookshelves",2015,17-Jun,New York Times,,http://www.nytimes.com/2015/06/17/books/moving-wikipedia-from-computer-to-many-many-bookshelves.html?_r=0,, ,, ,,, , ,TRUE,review,Print Wikipedia,
Madeline Brand,Inside a Wikipedia Editathon,2015,17-Mar,KCRW,,www.kcrw.com/news-culture/shows/press-play-with-madeleine-brand/venice-high-school-arrests-wikipedias-feminist-makeover-and-chinatown,, ,, ,,, , ,TRUE,review,Art+Feminism,
Sarah Cowan,Art-Minded Feminists Become Wikipedians for a Weekend,2015,12-Mar,Hyperallergic,,http://hyperallergic.com/190185/art-minded-feminists-become-wikipedians-for-a-weekend/,, ,, ,,, , ,TRUE,review,Art+Feminism,
