Authors,Title,Year,Date,Source,Publisher,ArticleURL,Type,DOI,CitationURL,Volume,Issue,StartPage,EndPage,Additional Pages,USE_THIS,ReviewType,Project,special
Hannah Ghorashi,Art+Feminism's 2015 Wikipedia Edit-A-Thon Adds 334 Articles on Female Artists,2015,10-Mar,ARTnews,,http://www.artnews.com/2015/03/10/artfeminisms-2015-wikipedia-edit-a-thon-adds-334-articles-on-female-artists/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Anna Russell,‘Edit-a-Thon’ Volunteers Revamp Female Artists’ Wikipedia Profiles,2015,9-Mar,The Wall Street Journal,,http://blogs.wsj.com/speakeasy/2015/03/09/edit-a-thon-volunteers-revamp-female-artists-wikipedia-profiles/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Jennifer Schuessler,"MoMA to Host Wikipedia Editing Marathon, to Improve Coverage of Women in the Arts",2015,6-Mar,The New York Times,,http://artsbeat.blogs.nytimes.com/2015/03/06/moma-to-host-wikipedia-editing-marathon-to-improve-coverage-of-women-in-the-arts/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Issie Lapowsky,Meet the Editors Fighting Racism and Sexism on Wikipedia,2015,3-Mar,Wired,,http://www.wired.com/2015/03/wikipedia-sexism/,, ,, ,,, , ,TRUE,review,Art+Feminism,
The Editors,The Agenda: This Week in New York,2015,3-Mar,Art in America,,http://www.artinamericamagazine.com/news-features/previews/the-agenda-this-week-in-new-york-14/,, ,, ,,, , ,TRUE,mention,Print Wikipedia,
Dawn Opel,A review of The Social Media Reader,2015,Fall,Kairos,,http://kairos.technorhetoric.net/20.1/reviews/opel/index.html,, ,, ,,20,1, ,TRUE,review,The Social Media Reader,
Joseph Henry,Querying the new appropriation art: is this cynicism?,2015,8-Jan,MoMUS,,http://momus.ca/querying-the-new-appropriation-art-is-this-cynicism/,, ,, ,,, , ,TRUE,discussion,AfterSherrieLevine.com,
Jonathan Jones,Is Wikipedia the best place to promote women in art?,2014,20-Feb,The Guardian,,http://www.theguardian.com/artanddesign/jonathanjonesblog/2014/feb/20/wiki pedia-women-in-art-artandfeminism-editathons,, ,, ,,, , ,TRUE,review,Art+Feminism,
Julie Bort,A Growing Army Of Women Are Taking On Wikipedia’s Sexism Problem,2014,15-Feb,Business Insider,,http://www.businessinsider.com/growing-army-of-women-take-on-wikipedia-2014-2,, ,, ,,, , ,TRUE,review,Art+Feminism,
Avishay Artsy,Edit-a-thons aim to erase Wikipedia’s gender gap,2014,12-Feb,KCRW Radio, ,http://blogs.kcrw.com/whichwayla/2014/02/edit-a-thons-aim-to-erase-wikipedias-gender-gap,, ,, ,,, , ,TRUE,review,Art+Feminism,
Kat Stoeffel,Closing Wikipedia’s Gender Gap-Reluctantly,2014,11-Feb,New York Magazine,,http://nymag.com/thecut/2014/02/closing-wikipedias-gender-gap-reluctantly.html,, ,, ,,, , ,TRUE,review,Art+Feminism,
Robin Cembalest,101 Women Who Got Wikipedia Pages This Week,2014,6-Feb,ARTNews,,http://www.artnews.com/2014/02/06/art-and-feminism-wikipedia-editathon-creates-pages-for-women-artists/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Catherine Wagley,Wikipedia Becomes a Battleground for Art Activism,2014,6-Feb,LA Weekly,,http://www.laweekly.com/2014-02-06/artbooks/wikipedia-becomes-a-battleground-for-art-activism/,, ,, ,,, , ,TRUE,review,Art+Feminism,
Dorothy Howard,Wikipedia Meets Feminism,2014,5-Feb,The Daily Beast,,http://www.thedailybeast.com/witw/articles/2014/02/05/wikipedia-meets-feminism.html,, ,, ,,, , ,TRUE,review,Art+Feminism,
Erica Butler,"Fixing Wikipedia’s gender bias, one edit at a time",2014,1-Feb,Radio PRX-Public Radio Exchange,,http://www.prx.org/pieces/110826-fixing-wikipedia-s-gender-bias-one-edit-at-a-time,, ,, ,,, , ,TRUE,review,Art+Feminism,
Anthony Hicks and Corinna Kirsch,"This Must-See Art Events: Wikipedia Gets Edited, Artists Get (Pyramid) Schemed",2014,27-Jan,Art F City,,http://artfcity.com/2014/01/27/this-weeks-must-see-art-events-wikipedia-gets-edited-artists-get-pyramid-schemed,, ,, ,,, , ,TRUE,review,Art+Feminism,
Sarah Mirk,An Epic Feminist Edit-a-Thon Takes Aim at Wikipedia’s Gender Gap,2014,24-Jan,Bitch Magazine,,http://bitchmagazine.org/post/an-epic-edit-a-thon-takes-aim-at-wikipedias-gender-gap,, ,, ,,, , ,TRUE,review,Art+Feminism,
Federico Ruberti,"Apprpriation art, tra plagio e provocazione, un punto di vista sul rapporto tra processo artistico e diritto d’autore",2013,27-Nov,Ideas in the Making,,http://www.ideasinthemaking.net/appropriation-art-tra-plagio-e-provocazione-un-punto-di-vista-sul-rapporto-tra-processo-artistico-e-diritto-dautore/,, ,, ,,, , ,TRUE,mention,AfterSherrieLevine.com,
Kyle Petreycik,"Tiananmen Square Censored Photos as Paintings, Made in China",2013,4-Jun,Animal,,http://animalnewyork.com/2013/tiananmen-square-censored-photos-as-paintings-made-in-china/,, ,, ,,, , ,TRUE,review,Tiananmen Square Paintings,
Kyle Petreycik,In Search of an Alternative Art Education #AltEdu,2013,10-May,Hyperallergic,,http://hyperallergic.com/70686/in-search-of-an-alternative-art-education-altedu/,, ,, ,,, , ,TRUE,review,New York Arts Practicum,
Juliet Helmske,"Eco-Visualization, Aesthetics for Sustainability",2013,10-Apr,Urban Omnibus,,http://urbanomnibus.net/2013/04/eco-visualization-aesthetics-for-sustainability/,, ,, ,,, , ,TRUE,mention,The Real Costs,
Danica Duca,"The Irreverent Plagiarists. After Sherrie Levine, Michael Mandiberg and Herman Zchiegner",2013,26-Mar,Interartive,,http://artcopyright.interartive.org/daniela-duca/,, ,, ,,, , ,TRUE,discussion,AfterSherrieLevine.com,
Alessandro Ludovico,The Social Media Reader,2012,27-Nov,Neural,,http://neural.it/2012/11/the-social-media-reader/,, ,, ,,, , ,TRUE,review,The Social Media Reader,
Edward A. Shanken,Investigatory art: Real-time systems and network culture,2012,22-Nov,NECSUS European Journal of Media Studies,,http://www.necsus-ejms.org/investigatory-art-real-time-systems-and-network-culture/,, ,, ,,, , ,TRUE,discussion,The Real Costs,
Damien Spry,The Social Media Reader [Book Review],2012,November,"Media International Australia, Incorporating Culture & Policy",,http://search.informit.com.au/documentSummary;dn=991636339129495;res=IE LLCC,, ,, ,,145, , ,TRUE,review,The Social Media Reader,
Lara Smith-Sitton,"The Social Media Reader, edited by Michael Mandiberg",2012,October,Studies in American Culture,,http://www.vmi.edu/Content.aspx?id=10737422646,, ,, ,,35,1, ,TRUE,review,The Social Media Reader,
An Xiao,New Book Explores Social Media From Many Angles,2012,6-Mar,Hyperallergic,,http://hyperallergic.com/47876/michael-mandiberg-the-social-media-reader/,, ,, ,, , ,,TRUE,review,The Social Media Reader,
Kate Armstrong,A Manual for the Discrete and the Continuous,2010,,Fillip,, ,, ,,11, , ,,,TRUE,review,Digital Foundations,
Lawrence Mullen,A Review of Digital Foundations: Intro to Media Design,2011,,Visual Communication Quarterly,,http://www.tandfonline.com/doi/abs/10.1080/.Uf2JclO9zHo#.U3t9b_ldWSo,, ,,18,2,, ,,TRUE,review,Digital Foundations,
Marita Sturken,AfterSherrieLevine.com,2010,,"ASPECT, The Chronicle of New Media Art",, ,, ,,15, ,,,,TRUE,discussion,AfterSherrieLevine.com,
Lisa Radon,"Review: Michael Mandiberg, The Great Recession",2010,3-Apr,ultra,,http://www.ultrapdx.com/zero/2010/04/03/review-michael-mandiberg-the-great-recession/,, ,, ,, , ,,TRUE,review,The Great Recession,
Meike Laaf,Von null auf Buch in 120 Stunden,2010,8-Feb,Die Tageszeitung,,http://www.taz.de/1/leben/buch/artikel/1/von-null-auf-buch-in-120-stunden/,, ,, ,, , ,,TRUE,review,Collaborative Futures,
Macy Halford,"1,000 Words: OMG LOL",2010,12-Jan,The New Yorker,,http://www.newyorker.com/online/blogs/books/2010/01/1000-words-omg-lol.html,, ,, ,, , ,,TRUE,review,OMG LOL,
Susanne Anker,Prime Objects and Body Doubles,2009,Winter,Art Journal,, ,, ,,64,4,101,102,,TRUE,discussion,AfterSherrieLevine.com,
Sean Patrick Farrell,Concepts Run Wild at Dutch-American Bike Slam,2009,22-Sep,The New York Times,,http://cityroom.blogs.nytimes.com/2009/09/22/concepts-run-wild-at-dutch-american-bike-slam/,, ,, ,, , ,,TRUE,review,New Amsterdam Bike Slam,
Jill Conner,Frames of Fear,2009,July/August,Afterimage,, ,, ,, , ,37,38,,TRUE,review,Permanent State of Emergency,
Yaelle Amir,New Life,2009,8-Mar,Artslant,,http://www.artslant.com/ny/articles/show/5317,, ,, ,, , ,,TRUE,review,The Future Is Not What It Used To Be,
Thomas Gideon,Advice from a Published Author on Negotiating a CC License,2009,16-Jan,Open Media Review,,http://openmediareview.com/2009/01/16/advice-from-a-published-author-on-negotiating-a-cc-license/,, ,, ,, , ,,TRUE,review,Creative Commons Projects,
Fred Benenson,Working with Publishers and Creative Commons,2009,13-Jan,Creative Commons,,http://creativecommons.org/weblog/entry/12162,, ,, ,, , ,,TRUE,review,Creative Commons Projects,
Carol Ness,"He who steals my artwork steals... what, exactly?",2008,29-Oct,UCBerkeleyNews,, ,, ,, , , ,,,TRUE,review,AfterSherrieLevine.com,
Ryan Griffis,Conducting Mobility,2008,,Artlink,, ,, ,,28,1, ,,,TRUE,review,Greenmuseum.org,
Abigail Doan,ECO-VIS CHALLENGE: Imagining Better Ways of Living,2008,6-Oct,inhabitat,,http://www.inhabitat.com/2007/10/06/eco-vis-challenge-imagining-better-ways-of-living/#,, ,, ,, , ,,TRUE,review,Eco-Vis Challenge,
Raimar Stange,In Media Res,2008,October,Flash Art, ,http://www.flashartonline.com/interno.php?pagina=articolo_det&id_art=242&det=ok&title=IN-MEDIA-RES,,,,, ,,,,TRUE,review,Shop Mandiberg,
Tiffany Holmes,Eco-Visualization: Promoting Environmental Stewardship in the Museum,2007,Fall,Journal of Museum Education,, ,, ,,32,3,273,284,,TRUE,discussion,Oil Standard,
Regine Debatty,Eyebeam’s Ecovisualiz Design Challenge,2007,17-Sep,We Make Money Not Art, ,http://www.we-make-money-not-art.com/archives/009736.php,,,,, ,,,,TRUE,review,Eco-Vis Challenge,
Valentina Tanni,PLUGIN ART,2007,July,DigiMag, ,http://www.digicult.it/digimag/article.asp?id=906,,,,, ,,,,TRUE,review,The Real Costs,
Mike Latarlow,Nowhere to hide when you use Real Costs,2007,22-May,Talking Wild, ,http://www.wild.org/blog/nowhere-to-hide-when-you-use-real-costs/,,,,, ,,,,TRUE,review,The Real Costs,
Lisa De Guia,The Map: Real Costs,2007,11-May,Travelistic.com, ,http://www.travelistic.com/video/show/3431/The-Map:-Real-Costs,,,,video interview,,,,,TRUE,review,The Real Costs,
R. Bosco and S. Caldana,Llega el ‘plugin art’ para Firefo,2007,7-May,El Pais, ,http://www.elpais.com/articulo/red/Llega/plugin/art/Firefox/elpeputeccib/20070705elpcibenr_7/Tes,,,,, ,,,,TRUE,review,The Real Costs,
Jen Chung,Video of the Day: The Real Costs,2007,1-May,Gothamist.com, ,http://gothamist.com/2007/05/01/video_of_the_da_69.php,,,,video interview,,,,,TRUE,review,The Real Costs,
Yasser Rashid,Oil Standard,2006,,Furtherfield, ,http://www.furtherfield.org/displayreview.php?review_id=183,,,, ,,,,,TRUE,review,Oil Standard,
Dan Mitchell,What’s Online,2006,25-Mar,New York Times,, , ,,,,,C5,,,TRUE,review,Oil Standard,
Matthias Kremp,Netzwelt-Ticker,2006,24-Mar,Spiegel Online, ,"http://www.spiegel.de/netzwelt/technologie/0,1518,407691,00.html",,,, ,,,,,TRUE,review,Oil Standard,
Cory Doctorow,Firefox plugin converts dollars to barrels of oil,2006,23-Mar,BoingBoing.net, ,http://www.boingboing.net/2006/03/23/firefox_plugin_conve.html,,,, ,,,,,TRUE,review,Oil Standard,
Mike Yamamoto,A browser that values everything in oil,2006,23-Mar,Cnet’s News.com, ,http://news.com.com/2061-11200_3-6052991.html,,,, ,,,,,TRUE,review,Oil Standard,
Jamais Cascio,How Much Is That In Oil?,2006,15-Mar,World Changing, ,http://www.worldchanging.com/archives/004205.html,,,, ,,,,,TRUE,review,Oil Standard,
Josephine Bosma,The Body in Turbulence,2006,,3 x 3: New Media Fix(es) on Turbulence, ,http://turbulence.org/texts/nmf,, ,,,,,,,TRUE,review,"The Essential Guide to Performing Michael Mandiberg, IN Network",
Kevin Hamilton,Absence in Common: An Operator for the Inoperative Community,2006,,intelligent agent, ,http://communitydomain.hamilton.absenceincommon.01,,,, ,,,,,TRUE,article,IN Network,
Caitlin Jones,My Artworld is Bigger than Your Artworld,2005,January 2005/February 2006,The Believer,, ,,,, ,,7,,,TRUE,discussion,AfterSherieLevine.com,
Laetitia Sellam,Avec Mobiles Apparents,2005,August,Beaux Arts Magazine,Paris,, ,,,,,30,31,,TRUE,review,IN Network,
Sherri Irvin,Appropriation and Authorship in Contemporary Art,2005,April,British Journal of Aesthetics,, , ,,,45,2,,,,TRUE,discussion,AfterSherrieLevine.com,
Rachel Metz,Far Apart but Intensely Connected,2005,21-Apr,Wired Online, ,"http://www.wired.com/news/culture/0,1284,67230,00.html",,,, ,,,,,TRUE,review,IN Network,
National Public Radio's Weekend America,Digitally Divided,2005,19-Mar,National Public Radio,,radio interview,,,,,,,,,TRUE,interview,IN Network,
Robert W. Sweeny,"Three Funerals and a Wedding: Art Education, Digital Images, and an Aesthetics of Cloning",2005,Fall,Visual Arts Research,, , ,,,,,31,61,,TRUE,discussion,AfterSherrieLevine.com,
Rachel Greene,Internet Art,2003,,Thames and Hudson,London; New York,Book,,,,,,184,"185, 191",,TRUE,discussion,"AfterSherrieLevine.com, Shop Mandiberg",
Marisa J. Futernick,Life Studies,2003,,Contemporary Magazine,London,, ,,,,,37,,,TRUE,review,Shop Mandiberg,
Roberto Bosco and Stefano Caldana,Suplantación en Red,2002,June,Cyberpais/El Pais,Spain,, ,,,,,60,62,,TRUE,review,"Shop Mandiberg, The Essential Guide to Performing Michael Mandiberg, The Exchange Program",
Bertrand Gauguet,"Mondialisation, Nouvelles Économies et Art sur Internet",2002,April,Parachute,, ,,,,,,98,105,,TRUE,review,Shop Mandiberg,
Robin Whitlaw,Command CV,2002,Winter,Afterimage,, , ,,,,,6,7,,TRUE,review,AfterSherieLevine.com,
Shannon Tan,Stuff of his life,2001,27-Aug,Miami Herald,, ,,,,,,C1: 2,,,TRUE,review,Shop Mandiberg,
Claire Barliant,Net Worth,2001,July-August,Artbyte,, ,,,,,,44,49,,TRUE,review,Shop Mandiberg,
Reena Jana,Is it Art or Memorex?,2001,21-May,Wired Online, ,"http://www.wired.com/news/culture/0,1284,43902,00.html",,,, ,,,,,TRUE,review,AfterSherieLevine.com,
Claire Barliant,First Person,2001,2-May,Artbyte.com,, , ,,,, ,,,,TRUE,review,Shop Mandiberg,
Tilman Baumgartel,The Sell-Out Artists,2001,30-Apr,Eyestorm.com,, , ,,,, ,,,,TRUE,review,Shop Mandiberg,
Simon Doonan,Try Purging the Boom Years and Start the New Age Clean,2001,26-Mar,New York Observer,, ,,,,,,29,,,TRUE,review,Shop Mandiberg,
Samantha Amjaali,For Sale: the posessions of a lifetime,2001,25-Mar,Melbourne Herald Sun,Melbourne Australia,, ,,,,,4,,,TRUE,review,Shop Mandiberg,
Greg Potter,Shopaholics alert!,2001,12-Mar,Vancouver Courier,, , ,,,, ,,,,TRUE,review,Shop Mandiberg,
Achy Obejas,Identity for Sale,2001,6-Feb,Chicago Tribune,,,,,,,,1,3,Section 5,TRUE,review,Shop Mandiberg,
Tilman Baumgartel,Der Ausverkauf des Selbsts,2001,5-Feb,Berliner Zeitung,, ,,,,,,,16,,TRUE,review,Shop Mandiberg,
François Landon,Enchères en chaussette dépareillée,2001,5-Feb,Transfert.net, ,http://www.transfert.net/a3947,,,, ,,,,,TRUE,review,Shop Mandiberg,
Matthew Mirapaul,A Market for Flotsam and Jetsam as Performance Art,2001,5-Feb,New York Times,, ,,,,,,E2,,,TRUE,review,Shop Mandiberg,
Lessley Anderson,Now On Sale Online: Me,2001,5-Feb,The Industry Standard,, ,,,,,,17,,,TRUE,review,Shop Mandiberg,
Ewa Wojtowicz,Time and Real-time in Online Art,2007,January,Hz,,http://www.fylkingen.se/hz/n9/wojtowicz.html,,,,,9,,,,TRUE,discussion,"Michael Mandiberg, Freelance Conceptual Artist",
Gavin Browning (Editor),The Studio-X New York Guide to Liberating New Forms of Conversation,2010,,New York: Columbia University GSAPP Press,,,,,,,,,,,TRUE,,,
Kevin McGarry,Pod Pals,2005,2-Mar,Rhizome,,http://rhizome.org/editorial/2005/mar/2/pod-pals,,,,,,,,,TRUE,review,IN Network,